,AWB Code,Order ID,Charged Weight,Warehouse Pincode_x,Customer Pincode,Zone_x,Type of Shipment,Billing Amount (Rs.),ExternOrderNo,Order Qty,Weight (g),Total_Weight,X_Charged_Weight_KG,Warehouse Pincode_y,Zone_y,Zone,Weight Slabs,Forward Fixed Charge,Forward Additional Weight Slab Charge,RTO Fixed Charge,RTO Additional Weight Slab Charge,X_price
15,1091117327695,2001807930,0.15,121003,845438,d,Forward charges,45.4,2001807930,1.0,240,240.0,0.24,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
16,1091117435005,2001808102,1.28,121003,463106,d,Forward charges,135.0,2001808102,9.0,821,1157.0,1.157,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
17,1091117435134,2001808118,0.5,121003,140301,b,Forward charges,33.0,2001808118,3.0,343,343.0,0.343,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
18,1091117435134,2001808118,0.5,121003,140301,b,Forward charges,33.0,2001808118,3.0,343,343.0,0.343,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
19,1091117435370,2001808207,0.79,121003,495671,d,Forward charges,90.2,2001808207,3.0,607,607.0,0.607,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
20,1091117435661,2001808295,0.2,121003,673002,e,Forward and RTO charges,107.3,2001808295,2.0,245,245.0,0.245,121003,e,e,2.0,56.6,55.5,50.7,55.5,107.30000000000001
21,1091117436383,2001808507,0.79,121003,208002,b,Forward charges,61.3,2001808507,3.0,607,607.0,0.607,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
22,1091117436464,2001808542,0.86,121003,416010,d,Forward charges,90.2,2001808542,4.0,367,734.0,0.734,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
23,1091117437050,2001808675,1.2,121003,226010,b,Forward charges,89.6,2001808675,6.0,1183,1183.0,1.183,121003,b,b,1.0,33.0,28.3,20.5,28.3,61.3
24,1091117327496,2001807976,0.7,121003,400705,d,Forward and RTO charges,172.8,2001807976,4.0,721,721.0,0.721,121003,d,d,1.5,45.4,44.8,41.3,44.8,86.69999999999999
25,1091118547832,2001812838,0.6,121003,262405,b,Forward and RTO charges,102.3,2001812838,5.0,222,558.0,0.558,121003,b,b,1.0,33.0,28.3,20.5,28.3,53.5
26,1091119398844,2001816684,0.99,121003,394210,d,Forward and RTO charges,172.8,2001816684,8.0,340,920.0,0.92,121003,d,d,1.5,45.4,44.8,41.3,44.8,86.69999999999999
27,1091119630264,2001817160,0.7,121003,411014,d,Forward and RTO charges,172.8,2001817160,2.0,700,700.0,0.7,121003,d,d,1.5,45.4,44.8,41.3,44.8,86.69999999999999
28,1091120014461,2001818390,0.8,121003,783301,e,Forward and RTO charges,213.5,2001818390,6.0,481,841.0,0.841,121003,e,e,2.0,56.6,55.5,50.7,55.5,107.30000000000001
29,1091120959015,2001821190,1.2,121003,486661,d,Forward and RTO charges,258.9,2001821190,2.0,1200,1200.0,1.2,121003,d,d,1.5,45.4,44.8,41.3,44.8,86.69999999999999
30,1091121485824,2001817093,1.3,121003,244001,b,Forward and RTO charges,151.1,2001817093,11.0,1021,1357.0,1.357,121003,b,b,1.0,33.0,28.3,20.5,28.3,110.1
31,1091121666133,2001823564,0.7,121003,492001,d,Forward and RTO charges,172.8,2001823564,6.0,336,672.0,0.672,121003,d,d,1.5,45.4,44.8,41.3,44.8,86.69999999999999
32,1091121981575,2001825261,1.6,121003,517128,d,Forward and RTO charges,345.0,2001825261,13.0,611,1557.0,1.557,121003,d,d,1.5,45.4,44.8,41.3,44.8,176.3
33,1091117957780,2001811192,1.13,121003,562110,d,Forward and RTO charges,258.9,2001811192,9.0,696,1032.0,1.032,121003,d,d,1.5,45.4,44.8,41.3,44.8,86.69999999999999
34,1091121482593,2001809917,0.6,121003,831006,d,Forward and RTO charges,172.8,2001809917,3.0,630,630.0,0.63,121003,d,d,1.5,45.4,44.8,41.3,44.8,86.69999999999999
35,1091117221940,2001806210,2.92,121003,140604,b,Forward charges,174.5,2001806210,2.0,220,220.0,0.22,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
36,1091117222065,2001806226,0.68,121003,723146,d,Forward charges,90.2,2001806226,2.0,240,480.0,0.48,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
37,1091117222080,2001806229,0.71,121003,421204,d,Forward charges,90.2,2001806229,3.0,500,500.0,0.5,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
38,1091117222135,2001806233,0.78,121003,263139,b,Forward charges,61.3,2001806233,2.0,245,245.0,0.245,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
39,1091117222146,2001806251,1.27,121003,743263,d,Forward charges,135.0,2001806251,2.0,245,245.0,0.245,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
40,1091117222570,2001806338,0.7,121003,392150,d,Forward charges,90.2,2001806338,3.0,500,500.0,0.5,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
41,1091117223211,2001806446,0.69,121003,382830,d,Forward charges,90.2,2001806446,3.0,500,500.0,0.5,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
42,1091117224353,2001806533,0.68,121003,711303,d,Forward charges,90.2,2001806533,3.0,500,500.0,0.5,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
43,1091117224611,2001806547,1.0,121003,283102,b,Forward charges,61.3,2001806547,1.0,127,127.0,0.127,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
44,1091117224902,2001806567,1.16,121003,370201,d,Forward charges,135.0,2001806567,6.0,952,952.0,0.952,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
45,1091117225016,2001806575,0.68,121003,248001,b,Forward charges,61.3,2001806575,3.0,500,500.0,0.5,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
46,1091117225016,2001806575,0.68,121003,248001,b,Forward charges,61.3,2001806575,3.0,500,500.0,0.5,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
47,1091117225484,2001806616,1.08,121003,144001,b,Forward charges,89.6,2001806616,6.0,963,963.0,0.963,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
48,1091117226221,2001806652,0.69,121003,403401,d,Forward charges,90.2,2001806652,3.0,500,500.0,0.5,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
49,1091117226674,2001806733,1.13,121003,452001,d,Forward charges,135.0,2001806733,5.0,967,967.0,0.967,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
50,1091117226711,2001806735,0.69,121003,721636,d,Forward charges,90.2,2001806735,3.0,500,500.0,0.5,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
51,1091117226910,2001806726,0.68,121003,831002,d,Forward charges,90.2,2001806726,3.0,500,500.0,0.5,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
52,1091117227573,2001806776,2.86,121003,226004,b,Forward charges,174.5,2001806776,4.0,474,611.0,0.611,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
53,1091117227816,2001806801,1.35,121003,248001,b,Forward charges,89.6,2001806801,2.0,361,361.0,0.361,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
54,1091117227816,2001806801,1.35,121003,248001,b,Forward charges,89.6,2001806801,2.0,361,361.0,0.361,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
55,1091117229290,2001807004,0.68,121003,410206,d,Forward charges,90.2,2001807004,3.0,500,500.0,0.5,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
56,1091117323005,2001807036,1.64,121003,516503,d,Forward charges,179.8,2001807036,13.0,451,1459.0,1.459,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
57,1091117323215,2001807084,0.67,121003,742103,d,Forward charges,90.2,2001807084,3.0,500,500.0,0.5,121003,d,d,1.5,45.4,44.8,41.3,44.8,45.4
58,1091117324394,2001807362,2.0,121003,452018,d,Forward charges,179.8,2001807362,18.0,560,2016.0,2.016,121003,d,d,1.5,45.4,44.8,41.3,44.8,90.19999999999999
59,1091117325094,2001807415,1.0,121003,208001,b,Forward charges,61.3,2001807415,7.0,472,1048.0,1.048,121003,b,b,1.0,33.0,28.3,20.5,28.3,61.3
60,1091117616121,2001809592,1.5,121003,244713,b,Forward charges,89.6,2001809592,12.0,600,1505.0,1.505,121003,b,b,1.0,33.0,28.3,20.5,28.3,61.3
61,1091117795531,2001809794,1.5,121003,580007,d,Forward charges,135.0,2001809794,7.0,1517,1517.0,1.517,121003,d,d,1.5,45.4,44.8,41.3,44.8,90.19999999999999
62,1091117795623,2001809820,3.0,121003,360005,d,Forward charges,269.4,2001809820,16.0,2856,3080.0,3.08,121003,d,d,1.5,45.4,44.8,41.3,44.8,135.0
63,1091117223351,2001806471,1.7,121003,313027,d,Forward charges,179.8,2001806471,10.0,1121,1621.0,1.621,121003,b,b,1.0,33.0,28.3,20.5,28.3,61.3
64,1091117324011,2001807241,0.79,121003,341001,d,Forward charges,90.2,2001807241,3.0,607,607.0,0.607,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
65,1091117327570,2001807981,0.5,121003,332715,d,Forward charges,45.4,2001807981,3.0,500,500.0,0.5,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
66,1091117435602,2001808286,0.77,121003,302031,d,Forward charges,90.2,2001808286,3.0,601,601.0,0.601,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
67,1091117435602,2001808286,0.77,121003,302031,d,Forward charges,90.2,2001808286,3.0,601,601.0,0.601,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
68,1091117437680,2001808801,0.8,121003,335001,d,Forward charges,90.2,2001808801,6.0,553,731.0,0.731,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
69,1091117437680,2001808801,0.8,121003,335001,d,Forward charges,90.2,2001808801,6.0,553,731.0,0.731,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
70,1091117804200,2001810104,0.76,121003,334004,d,Forward charges,90.2,2001810104,3.0,601,601.0,0.601,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
71,1091117957533,2001811153,0.76,121003,321001,d,Forward charges,90.2,2001811153,3.0,607,607.0,0.607,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
72,1091117957942,2001811229,0.6,121003,324001,d,Forward charges,90.2,2001811229,3.0,505,505.0,0.505,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
73,1091117958395,2001811363,0.59,121003,321608,d,Forward charges,90.2,2001811363,4.0,508,508.0,0.508,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
74,1091118001865,2001811466,0.8,121003,302002,d,Forward charges,90.2,2001811466,3.0,607,607.0,0.607,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
75,1091118001865,2001811466,0.8,121003,302002,d,Forward charges,90.2,2001811466,3.0,607,607.0,0.607,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
76,1091118009786,2001811809,0.5,121003,311011,d,Forward and RTO charges,86.7,2001811809,3.0,500,500.0,0.5,121003,b,b,1.0,33.0,28.3,20.5,28.3,53.5
77,1091118548333,2001812854,2.94,121003,306302,d,Forward charges,269.4,2001812854,11.0,2236,2572.0,2.572,121003,b,b,1.0,33.0,28.3,20.5,28.3,89.6
78,1091118553701,2001813009,1.0,121003,313001,d,Forward charges,90.2,2001813009,5.0,720,720.0,0.72,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
79,1091118553701,2001813009,1.0,121003,313001,d,Forward charges,90.2,2001813009,5.0,720,720.0,0.72,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
80,1091118553701,2001813009,1.0,121003,313001,d,Forward charges,90.2,2001813009,5.0,720,720.0,0.72,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
81,1091118553701,2001813009,1.0,121003,313001,d,Forward charges,90.2,2001813009,5.0,720,720.0,0.72,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
82,1091118591534,2001812650,0.61,121003,302002,d,Forward charges,90.2,2001812650,5.0,227,563.0,0.563,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
83,1091118591534,2001812650,0.61,121003,302002,d,Forward charges,90.2,2001812650,5.0,227,563.0,0.563,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
84,1091118925110,2001814580,0.15,121003,322255,d,Forward and RTO charges,86.7,2001814580,1.0,127,127.0,0.127,121003,b,b,1.0,33.0,28.3,20.5,28.3,53.5
85,1091119169701,2001815688,0.2,121003,302017,d,Forward charges,45.4,2001815688,2.0,220,220.0,0.22,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
86,1091119169701,2001815688,0.2,121003,302017,d,Forward charges,45.4,2001815688,2.0,220,220.0,0.22,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
87,1091119169701,2001815688,0.2,121003,302017,d,Forward charges,45.4,2001815688,2.0,220,220.0,0.22,121003,b,b,1.0,33.0,28.3,20.5,28.3,33.0
